,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_price,city,state_id,state_name,county_name,view_average,condition_average,grade_average,sqft_price_average,view_std,condition_std,grade_std,sqft_price_std,view_zscore,condition_zscore,grade_zscore,sqft_price_zscore,quality_zscore,zscore_delta
18848,7631800110,2014-09-18,380000.0,3,2.5,1980,17342,2.0,1,4,3,10,1580,400,2014-09-18,2014-09-18,98166,47.4551,-122.373,2060,17313,191.91919191919192,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,2.382818494969844,-1.3888648171924074,3.473725857833298,4.8625906750257055
15401,3999300290,2014-10-16,850000.0,3,3.5,2620,11148,2.0,0,4,4,9,2060,560,2014-10-16,2014-10-16,98008,47.5845,-122.115,2590,10796,324.42748091603056,Bellevue,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,1.1262839831529488,0.39879491297301306,3.5810590060499234,3.1822640930769106
294,9297300045,2014-07-09,550000.0,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,2014-07-09,2014-07-09,98126,47.5717,-122.375,2390,4166,279.18781725888323,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,1.9210574967545322,-0.1302505286639463,-0.21153011301868047,2.576949402363485,2.7884795153821655
16222,2045800006,2014-09-04,439000.0,3,2.25,2230,4551,1.5,0,2,5,8,1450,780,2014-09-04,2014-09-04,98178,47.5078,-122.236,2060,7200,196.8609865470852,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,-1.3221954237686997,1.4655066504604208,2.7877020742291205
13648,5072200040,2014-05-02,403000.0,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,2014-05-02,2014-05-02,98166,47.4419,-122.34,1960,10518,205.6122448979592,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,-1.2041328311522896,1.4655066504604208,2.6696394816127107
13348,9285800330,2014-07-02,732000.0,3,3.75,2670,6517,2.5,0,4,4,8,2020,650,2014-07-02,2014-07-02,98126,47.5702,-122.38,2010,6073,274.1573033707865,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,-0.1302505286639463,-0.2793964115564492,2.3245244942330285,2.6039209057894777
11844,2623039082,2015-02-18,770000.0,3,3.5,2050,21744,2.0,1,4,4,9,1750,300,2015-02-18,2015-02-18,98166,47.4536,-122.376,2300,12200,375.609756097561,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,1.1262839831529488,1.089291280656471,3.5810590060499234,2.4917677253934523
4315,1376800025,2014-09-08,834500.0,3,2.25,2780,6000,1.0,0,3,4,9,1670,1110,2014-09-08,2014-09-08,98199,47.6442,-122.406,2780,6000,300.1798561151079,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,1.1262839831529488,0.07167196287738604,2.4696162541468594,2.3979442912694733
14582,7203600530,2014-05-29,525000.0,3,3.0,2600,5238,1.5,0,3,3,9,1890,710,2014-05-29,2014-05-29,98198,47.3448,-122.327,2220,4853,201.92307692307693,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,-1.2539031291196134,1.105748594113339,2.359651723232952
2528,4477000270,2014-08-22,565000.0,3,2.0,2730,15677,2.5,0,3,3,9,2730,0,2014-08-22,2014-08-22,98166,47.4612,-122.365,2040,12209,206.95970695970695,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,-1.185954318064934,1.105748594113339,2.291702912178273
